item_id,source_type,project,origin_ref,text,stratum,SATD,SATD Type
82a059af7bf9,code_comment,nodejs/node,nodejs-node-0c1fb98\deps\v8\src\ic\accessor-assembler.cc,TODO(ishell): consider jumping to |slow| case instead of |miss|.,keyword,Yes,Design
0a7f806af9dd,code_comment,kubernetes/kubernetes,kubernetes-kubernetes-4b9d59f\staging\src\k8s.io\apimachinery\pkg\api\resource\scale_int.go,TODO: create loop up table if exp costs too much.,keyword,Yes,Design
7a69a2add268,code_comment,nodejs/node,nodejs-node-0c1fb98\deps\v8\src\tracing\trace-event.h,TODO(skyostil): Write as typed event instead of JSON,keyword,Yes,Design
77ddba707434,code_comment,opencv/opencv,opencv-opencv-19c41c2\3rdparty\libpng\pngget.c,TODO: make this work without FP support; the API is currently eliminated if neither floating point APIs nor internal floating point arithmetic are enabled.,keyword,Yes,Design
87927b649778,code_comment,nodejs/node,nodejs-node-0c1fb98\deps\v8\third_party\abseil-cpp\absl\synchronization\mutex_test.cc,queue two thread that will block on reader locks on x.mu,neutral,No,
73c4f599a9c4,code_comment,kubernetes/kubernetes,kubernetes-kubernetes-4b9d59f\vendor\github.com\vishvananda\netlink\nl\nl_linux.go,"from kernel more verbose messages e.g. for statistics,",neutral,No,
eaa609c26712,code_comment,nodejs/node,nodejs-node-0c1fb98\test\parallel\test-crypto.js,https://github.com/joyent/node/issues/6690,neutral,No,
18ddf60c1ce6,code_comment,django/django,django-django-6e32874\django\contrib\admin\options.py,"Go through the fields, following all relations.",neutral,No,
82e55017b8ad,commit,kubernetes/kubernetes,88d6e6c465a6afc245ccb9d1100bd3fa693b16c2,drop automaxprocs hacks now that go 1.25 handles this built in https://go.dev/doc/go1.25#container-aware-gomaxprocs,keyword,No,
780663b770bb,commit,kubernetes/kubernetes,7f4ee652eaa0b0782348304ea9fbf7a7f53a19ab,Delete temporary ProbeHostPodSecurityStandards feature gate,keyword,No,
0c03eebc24a8,commit,nodejs/node,c2536adc287d4c9af36ed6f4e79a96a24e214fba,"console,util: improve array inspection performance There is no need to do the own property check, since the descriptor is needed right afterwards anyway. PR-URL: https://github.com/nodejs/node/pull/60037 Reviewed-By: Anna Henningsen Reviewed-By: James M Snell Reviewed-By: Colin Ihrig Reviewed-By: Jordan Harband",keyword,Yes,Design
28f8a70c8880,commit,django/django,40d6eb2c0104f2119d5260b77402737cebf3f85c,Refs #35581 -- Added workaround for Python bug in mail tests. See python/cpython#128110.,keyword,Yes,Design
872816ff90e7,commit,django/django,9efce80ca7daccbcf315a81b250f5dc8b6d453a1,Refs #36485 -- Ignored line-length formatting changes in git blame.,neutral,Yes,Design
a5ed259fb5d1,commit,nodejs/node,f1b56d6200e481d066a004135738aa227b7c4e09,lib: add source map support for assert messages Map source lines in assert messages with cached source maps. PR-URL: https://github.com/nodejs/node/pull/59751 Reviewed-By: Marco Ippolito,neutral,No,
f1c804613a92,commit,nodejs/node,e1d4d6ab492b0a129a51ab9ebe41efd7ed7e0d75,"repl: eol deprecate instantiating without new PR-URL: https://github.com/nodejs/node/pull/59495 Refs: https://github.com/nodejs/node/pull/54869 Reviewed-By: Zeyu ""Alex"" Yang Reviewed-By: Yagiz Nizipli Reviewed-By: James M Snell Reviewed-By: Ruben Bridgewater",neutral,No,
91eaef514669,commit,django/django,d55979334dcefdb11626220000bec97ade09df07,Fixed #36531 -- Added forkserver support to parallel test runner.,neutral,No,
cd051025db32,issue,kubernetes/kubernetes,133609,"While codegen runs goimport, it doesn't simplify code like gofmt does with the argument. This means we have some cases where to add complexity into our generators to simplify code during generation. We should run gofmt on all generated code output for consistency. We can also drop any complexity we've added to our code generators after enabling gofmt. /sig api-machinery Add gofmt to hack/update-codegen.sh",keyword,Yes,Design
3cea075d701e,issue,kubernetes/kubernetes,133222,"### What happened? Hey Team, I found a bug related to one of the subdomains. Itâ€™s not in scope on HackerOne. Could you please guide me on the right place to report it ? Best ### What did you expect to happen? -- ### How can we reproduce it (as minimally and precisely as possible)? -- ### Anything else we need to know? _No response_ ### Kubernetes version ### Cloud provider -- ### OS version -- ### Install tools _No response_ ### Container runtime (CRI) and version (if applicable) _No response_ ### Related plugins (CNI, CSI, ...) and versions (if applicable) _No response_ Vulnerability Report",keyword,No,
c40e76e2577c,issue,rust-lang/rust,146287,"In HarfBuzz, we build a using Cargo, called . In we define a custom global allocator: https://github.com/harfbuzz/harfbuzz/blob/main/src/rust/lib.rs We also pass to . We later link into libharfbuzz. This used to work with nightly of 2025-09-03. But with 2025-09-5 the final link fails with: The build fails similarly with gcc and ld.bfd. If I try the new , it fails also: If I comment out the then linking succeeds. : hidden symbol `_RNvCsi3tQlMvAKpb_7___rustc8___rg_oom' isn't defined",keyword,No,
7355babda8c2,issue,microsoft/vscode,269785,"> Adding a workaround that retries the chat request with Node.js' fetch. > > Verification on macOS or Linux: > - Filter for in the Chat output channel. > - Start a chat session. (E.g., a longwinded Ask session to make timing easy.) > - In the middle of a streamed reply enable Azure VPN. (That's the easiest way I know of.) > - Verify you see the following two messages in the output channel: > > > Make sure the chat panel keeps rendering correctly. The partial response will roll back when the error occurs and the response from the retry will start streaming in. > I followed these steps and did this during Tool Optimization and got: _Originally posted by @chrmarti in #260297_ Tool Optimization falls over during network changes",keyword,No,
f7c762748240,issue,nodejs/node,58611,### Version 23.11.1 ### Platform ### Subsystem node:internal/bootstrap/realm ? ### What steps will reproduce the bug? Looks like loading code via register hooks causes this. ### How often does it reproduce? Is there a required condition? Pretty much every time I run. I can build a minimal reproduction if the stack trace isn't enough. ### What is the expected behavior? Why is that the expected behavior? I would expect no warnings when node is itself responsible for using its own unstable APIs (via stable APIs). ### What do you see instead? ### Additional information â¤ ya'll. node:sqlite warning because of internal usage,neutral,Yes,Design
e729c630b890,issue,kubernetes/kubernetes,132463,Parent issue: https://github.com/kubernetes/kubernetes/issues/109197 copylock vet errors in staging/src/k8s.io/apimachinery/pkg/util/managedfields,neutral,No,
44efefc03f8a,issue,opencv/opencv,27772,"### **System Information** OS: Microsoft Windows 11 Home Chinese version conda 25.7.0 python 3.10.18 opencv 4.12.0 (conda-forge) py-opencv 4.12.0 (conda-forge) ### **Issue description** When I run the code in an Anaconda environment, I get the following error: **What I tried:** These solutions were suggested for a similar error with import torch, but they did not work for cv2. I would greatly appreciate any help with resolving this issue, as it is blocking my progress. ImportError: DLL load failed while importing cv2:æ“ä½œç³»ç»Ÿæ— æ³•è¿è¡Œ %1 (The operating system cannot run %1)",neutral,No,
cdf05e836a1f,issue,kubernetes/kubernetes,133371,"### What happened? Enabling the feature gate causes pods with sidecar containers to get stuck in the pending state ### What did you expect to happen? The pod can enter the running state. ### How can we reproduce it (as minimally and precisely as possible)? Enabling the EventedPLEG feature gate and create a pod with sidecar container. ### Anything else we need to know? _No response_ ### Kubernetes version ### Cloud provider ### OS version ### Install tools ### Container runtime (CRI) and version (if applicable) ### Related plugins (CNI, CSI, ...) and versions (if applicable) Enabling the EventedPLEG feature gate causes pods with sidecar containers to get stuck in the pending state",neutral,No,
0dad0594fba5,pull_request,rust-lang/rust,147075,"I'm using this function in a third-party application (Creusot) to access private items (by reverse engineering their hash). This works in the happy path, but it panics when an item does not exist. There is no way to hack it downstream because the hook must always return a and its implementation uses which is internal and which is where the panic happens. Make not panic when passed an invalid hash",keyword,No,
a80094a454ec,pull_request,django/django,19884,"#### Trac ticket number ticket-36611 #### Branch description Note that reverting 8c621e96422e037c3997c8c9515bc050620852f6 entirely is also an option and means that I have less of a ""hacky"" test setup to keep those tests passing I am not 100% sure whether backporting a system check is allowed. I think we could do it in this case because: - ForeignObject's were never a documented feature and this feature isn't really working for them - I feel the reason this was raised was due to testing of other tickets rather than from use in the wild Fixed #36611, Refs #36580 -- Added system check for multicolumn ForeignObjects in Meta.indexes/constraints/unique_together.",keyword,Yes,Document
